project,source_excerpt,field,model_a,model_b,value_a,value_b,agree,verdict,correct_value
p5-2014-lbne,Not in Table 1. Text only (predecessor of LBNF),_row,claude-sonnet,claude-haiku,present,MISSING,no,,
p5-2014-lhc-phase-1,Not in Table 1. Figure 1 caption (p. 18): 'The LHC: Phase 1 upgrade is a Medium project'. Recommendation 10,_row,claude-sonnet,claude-haiku,present,MISSING,no,,
p5-2014-map,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | MAP N N N",_row,claude-sonnet,claude-haiku,MISSING,present,no,,
p5-2014-mice,Not in Table 1. Recommendation 25 and executive summary,_row,claude-sonnet,claude-haiku,present,MISSING,no,,
p5-2014-project-x,Not in Table 1. Text only (predecessor of PIP-II),_row,claude-sonnet,claude-haiku,present,MISSING,no,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",_row,claude-sonnet,claude-haiku,MISSING,present,no,,
p5-2014-water-cherenkov,Not in Table 1. p. 19 text on Scenario C,_row,claude-sonnet,claude-haiku,present,MISSING,no,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",size_class,claude-sonnet,claude-haiku,medium,small,no,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",size_class,claude-sonnet,claude-haiku,medium,medium,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,size_class,claude-sonnet,claude-haiku,small,small,yes,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",size_class,claude-sonnet,claude-haiku,small,medium,no,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",size_class,claude-sonnet,claude-haiku,medium,medium,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,medium,medium,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",size_class,claude-sonnet,claude-haiku,large,large,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,large,large,yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",size_class,claude-sonnet,claude-haiku,medium,medium,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,large,large,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",size_class,claude-sonnet,claude-haiku,medium,medium,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,large,large,yes,,
