project,source_excerpt,field,model_a,model_b,value_a,value_b,agree,verdict,correct_value
p5-2014-accel-rd,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | Accelerator R&D and Test Facilities Y, reduced Y, Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",_row,claude-sonnet,claude-haiku,MISSING,present,no,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",agency,claude-sonnet,claude-haiku,"DOE-HEP (Fermilab, proposed)",DOE-HEP,no,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",size_class,claude-sonnet,claude-haiku,Medium per Table 1 'Medium Projects' grouping,Large,no,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",rank_or_scenario,claude-sonnet,claude-haiku,"not-recommended (N, N, N in all three scenarios)",not-recommended,check,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",science_driver,claude-sonnet,claude-haiku,Pursue the Physics Associated with Neutrino Mass,Pursue the physics associated with neutrino mass,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",promise_quote,claude-sonnet,claude-haiku,A strategy focusing resources on moving ahead as fast as possible on LBNF is therefore favored.,"CHIPS proposes a large water Cherenkov detector in a water-filled mine pit, first at a NuMI off-axis location, and possibly later as an off-axis LBNF detector... a strategy focusing resources on moving ahead as fast as possible on LBNF is therefore favored.",check,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",science_question,claude-sonnet,claude-haiku,Deploy a large water Cherenkov detector in a water-filled mine pit on the NuMI beamline to improve knowledge of oscillation parameters ahead of LBNF.,Develop water Cherenkov detector technology for neutrino oscillation physics,check,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",cost_basis,claude-sonnet,claude-haiku,,"Less capable for proton decay, atmospheric neutrinos, and SN burst neutrinos than LBNF",no,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); pp. 12-13,"Section 2.2, page 13",check,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",agency,claude-sonnet,claude-haiku,DOE-HEP/NSF-PHY (multiagency),"NSF-PHY, DOE-HEP, multiagency",no,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",size_class,claude-sonnet,claude-haiku,"Medium ($50M-$200M, per text description of Stage 4 as 'mid-scale')",Small,no,,
